ID,ObsType,ObsID,Latitude,Longitude,Elevation(m),LocalDate,LocalTime,UTDate,UTTime,LimitingMag,SQMReading,SQMSerial,CloudCover,Constellation,SkyComment,LocationComment,Country
216388,GAN,15052,35.8083,139.855,3.90948,2020-01-18,23:24,2020-01-18,14:24,1,,,1/4 of sky,Taurus,,,Japan
216390,GAN,15054,35.6329,139.58,23.0534,2020-01-17,23:07,2020-01-17,14:07,3,,,1/4 of sky,Orion,,,Japan
216391,GAN,15055,33.1742,132.793,84.797,2020-01-18,19:45,2020-01-18,10:45,6,,,clear,Taurus,The humidity was low and the sky condition was very good. The Milky Way could be seen from northwest to southeast.,There are almost no street lights around Shimanto Observatory and you can see a relatively large sky.,Japan
216392,GAN,15056,35.7589,139.579,52.4759,2020-01-16,22:50,2020-01-16,13:50,3,,,clear,Orion,,,Japan
216393,GAN,15059,35.5841,139.703,14.5562,2020-01-19,18:03,2020-01-19,09:03,1,,,clear,Taurus,,,Japan
216394,GAN,15061,35.7344,139.641,44.3514,2020-01-19,19:27,2020-01-19,10:27,1,,,1/2 of sky,Orion,,,Japan
216395,GAN,15062,35.7271,139.753,23.2814,2020-01-19,19:34,2020-01-19,10:34,-9999,,,over 1/2 of sky,Orion,,,Japan
216396,GAN,15063,35.584,139.699,8.6596,2020-01-19,19:42,2020-01-19,10:42,2,,,1/4 of sky,Orion,,,Japan
216397,GAN,15065,35.584,139.699,8.6596,2020-01-19,19:45,2020-01-19,10:45,1,,,1/4 of sky,Orion,,,Japan
216398,GAN,15066,33.5036,133.542,26.9132,2020-01-19,19:48,2020-01-19,10:48,3,,,clear,Orion,,,Japan
216399,GAN,15067,35.7536,139.717,21.2329,2020-01-19,20:00,2020-01-19,11:00,-9999,,,1/2 of sky,Taurus,,,Japan
216400,GAN,15068,36.062,139.667,11.5428,2020-01-19,20:14,2020-01-19,11:14,3,,,clear,Perseus,,,Japan
216401,GAN,15069,35.3932,139.555,61.6074,2020-01-19,20:54,2020-01-19,11:54,2,,,over 1/2 of sky,Perseus,,,Japan
216402,SQM,15070,33.5157,133.516,54.9309,2020-01-19,20:54,2020-01-19,11:54,3,18.94,,1/4 of sky,Orion,,,Japan
216403,GAN,15071,35.7334,139.739,20.665,2020-01-19,20:57,2020-01-19,11:57,1,,,over 1/2 of sky,Taurus,,,Japan
